Year;Reported;Convicted
1995;2779;1530
1996;2536;1442
1997;2706;1590
1998;2688;1485
1999;2981;1725
2000;2800;1620
2001;2738;1604
2002;2919;1776
2003;2758;1739
2004;3095;2123
2005;2799;1912
2006;2652;1790
2007;2602;1818
2008;2477;1692
2009;2231;1568
2010;2642;1938
2011;2606;1831
2012;2616;1933
2013;2532;1824
2014;2640;1921
2015;2965;2026
2016;4425;2653
2017;6869;3930
2018;7256;5061
2019;6554;3529
2020;7294;4280
2021;8485;4737
2022;9683;5040
2023;9756;5807
2024;8317;4514
2025;9490;4518
